"abap_program_id","related_abap_program_id","relation_type"
"SAPLMGMM_SCREEN_4005","6cf09d0b-667a-4a02-9290-217068dc97d4","MODULE"
"0330cad5-7648-433a-be6f-f215fe8c6111","002ab2cc-b10b-4e0d-9459-2b1597f6bdc6","Includes"
"45753332-7c87-4a9c-9860-5446650e0918","03c3c7d0-85c1-4ebc-bd84-b07e46cfea43","Function Calls"
"a9d572d6-f2dc-4562-b397-5c59107b8c51","0bbdd689-b031-4a67-a1b3-f9bff7a4b634","Database Tables"
"d0c4297b-869a-48e0-9ef9-7d81d547459e","e7646477-e530-4518-8901-fa878ae9cc78","Function Calls"
"57b74590-5dce-4c89-903d-2d9ecdea2d65","8eff113f-8875-41c3-bde2-98b57d7b9d78","Function Calls"
"SAPLMGMM_SCREEN_3004","3aa5fad8-d8df-4e7e-b513-2da25297ba91","MODULE"
"271ad2c9-e368-410c-933c-d30d49023294","9c926029-53da-45c3-a733-215a21f6bba1","Database Tables"
"57b74590-5dce-4c89-903d-2d9ecdea2d65","7978eee2-36a6-458b-8247-e250573d62b4","Database Tables"
"bc313690-c0a5-4632-a6e3-21eb2ade0a00","e09169c2-7f49-47b1-a732-5656701f0862","Includes"
"9a27e1bb-b7ac-4523-b184-ac8bed57ea91","0a4d2443-51d8-4233-a9a0-a8a27c827a1f","Database Tables"
"ee321bd9-5685-468f-a486-ca5b501e51ac","5fa42f6c-2cc4-4840-bc36-44a8b9973af3","Method Calls"
"51493a8d-f3d3-48f4-b463-c895ab8e7fc2","3b14dcd1-0d5c-47a5-8e49-057a0a995da0","Includes"
"e1e76536-60fd-4833-a6e1-3f1d70270ca2","b62af995-e71f-44a1-8cfb-3ea89b60510c","Function Calls"
"b3b8b9a3-23a4-4169-abb2-43b5cb169a90","9d870bb9-c677-4951-99d3-d257c7e3c5d0","Function Calls"
"03592f88-d228-4d15-a8ee-f38ec3d4bee3","6eccacea-882c-4632-b95c-df6933d10c8d","Includes"
"c45cccf9-69c2-4b09-93c9-18fe2fe1e5be","0c1ff323-3d3d-439f-ac82-c830680e1dc6","Function Calls"
"03592f88-d228-4d15-a8ee-f38ec3d4bee3","2a559594-26d5-4b0c-8644-cb7dae809015","Includes"
"35378e94-ed70-4b5d-8d33-a1d511e98e62","885c9a05-1690-4e1f-b336-94e0fc66a1fc","Database Tables"
"211238dc-11fd-478e-96df-5928be1c1144","d1e901de-4c29-47ec-95ee-ca17cc1cef16","Includes"
"SAPLMGMM_SCREEN_5005","6cf09d0b-667a-4a02-9290-217068dc97d4","MODULE"
"1b2c6d47-2a78-4638-b883-1edfa6d61f3b","01e7e318-3d71-4781-9e5f-a78f1ec12dcd","Database Tables"
"907becdc-1ca2-48f6-af46-44a501d9da0c","8295c022-5d86-4169-8381-32a88d06ad8c","Database Tables"
"4bc01f10-f03d-49b2-9587-807387d6bb65","edfd8f52-8905-4661-a11d-10edf5c03472","Database Tables"
"bcb45b23-0100-4ab7-bcc5-97205c9fa3db","e8b5d232-c120-4f68-81c0-5bb732b313c2","Includes"
"86bd14a2-9638-4481-8c19-c7fe064e75ab","7e37bd24-df82-4a7b-81e4-862c160d89db","Database Tables"
"a07915a7-9c34-4ba7-92d5-bd303c9ac804","59ef895c-167a-49de-a8fc-10eb7ab68402","Function Calls"
"cedfd944-efc0-42be-985a-c18435aa75c1","610d76eb-27fb-43d1-96b8-0d8ae4545c81","Function Calls"
"SAPLMGMM_SCREEN_4004","3b65fb99-7838-4feb-8327-d1a9c2d30b2c","MODULE"
"03592f88-d228-4d15-a8ee-f38ec3d4bee3","217f9686-07cf-41aa-b34b-ca7181373319","Includes"
"SAPLMGMM_SCREEN_0080","e7b91733-225d-41eb-a007-a711ed4c40a2","MODULE"
"SAPLMGMM_SCREEN_0060","d60b6971-67d6-4cd4-bb79-91fe13239d7e","MODULE"
